Z=0.020000 Y=0.275000 OS=0.000000 l/Hp=0.000000 [Fe/H]= 0.000000 [Alpha/Fe]= 0.000000
  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
age(Gyr)= 0.002500  21 points
 0.080000  3.479082  0.000000  3.960117  11.907864  0.000000  0.000000  1.170194  2.800777  4.698351  5.372521  5.720616  0.000000  0.000000  0.000000  0.000000  0.000000
 0.090000  3.483014  0.000000  3.965534  11.694660  0.000000  0.000000  1.150971  2.761942  4.619924  5.294087  5.641974  0.000000  0.000000  0.000000  0.000000  0.000000
 0.100000  3.486690  0.000000  3.968728  11.495631  0.000000  0.000000  1.140971  2.732427  4.551380  5.235755  5.573431  0.000000  0.000000  0.000000  0.000000  0.000000
 0.110000  3.490290  0.000000  3.969962  11.305472  0.000000  0.000000  1.130566  2.702830  4.490173  5.175069  5.512223  0.000000  0.000000  0.000000  0.000000  0.000000
 0.130000  3.495436  0.000000  3.972577  11.007692  0.000000  0.000000  1.110577  2.661442  4.424080  5.108671  5.435403  0.000000  0.000000  0.000000  0.000000  0.000000
 0.150000  3.499879  0.000000  3.973117  10.747573  0.000000  0.000000  1.090971  2.632427  4.341886  5.036679  5.352890  0.000000  0.000000  0.000000  0.000000  0.000000
 0.175000  3.504597  0.000000  3.971514  10.468318  0.000000  0.000000  1.071121  2.593364  4.270528  4.965546  5.271106  0.000000  0.000000  0.000000  0.000000  0.000000
 0.200000  3.508276  0.000000  3.971885  10.255962  0.000000  0.000000  1.061346  2.573365  4.237888  4.932888  5.237846  0.000000  0.000000  0.000000  0.000000  0.000000
 0.250000  3.516653  0.000000  3.974093  9.844112  0.000000  0.000000  1.040000  2.521963  4.119454  4.824190  5.109088  0.000000  0.000000  0.000000  0.000000  0.000000
 0.300000  3.524364  0.000000  3.976584  9.495050  0.000000  0.000000  1.010000  2.471485  4.037211  4.752830  5.026123  0.000000  0.000000  0.000000  0.000000  0.000000
 0.350000  3.531724  0.000000  3.979200  9.185600  0.000000  0.000000  0.980000  2.430800  3.951832  4.688589  4.940745  0.000000  0.000000  0.000000  0.000000  0.000000
 0.400000  3.538444  0.000000  3.979317  8.918911  0.000000  0.000000  0.960000  2.390297  3.901864  4.650105  4.890776  0.000000  0.000000  0.000000  0.000000  0.000000
 0.450000  3.543422  0.000000  3.979288  8.692596  0.000000  0.000000  0.940000  2.361346  3.826859  4.595226  4.815771  0.000000  0.000000  0.000000  0.000000  0.000000
 0.500000  3.548705  0.000000  3.980000  8.480571  0.000000  0.000000  0.920000  2.322571  3.762747  4.542371  4.751659  0.000000  0.000000  0.000000  0.000000  0.000000
 0.570000  3.554834  0.000000  3.982333  8.215429  0.000000  0.000000  0.899619  2.280762  3.692270  4.493762  4.691807  0.000000  0.000000  0.000000  0.000000  0.000000
 0.600000  3.557244  0.000000  3.982333  8.115429  0.000000  0.000000  0.889619  2.260762  3.677376  4.479396  4.666709  0.000000  0.000000  0.000000  0.000000  0.000000
 0.700000  3.565602  0.000000  3.986700  7.767800  0.000000  0.000000  0.850000  2.180600  3.559203  4.371422  4.537290  0.000000  0.000000  0.000000  0.000000  0.000000
 0.800000  3.573438  0.000000  3.990725  7.447843  0.000000  0.000000  0.829804  2.110588  3.431112  4.253753  4.398149  0.000000  0.000000  0.000000  0.000000  0.000000
 0.900000  3.581464  0.000000  4.002170  7.137000  0.000000  0.000000  0.790000  2.020600  3.281136  4.092962  4.226527  0.000000  0.000000  0.000000  0.000000  0.000000
 1.000000  3.589842  0.000000  4.000111  6.802593  0.000000  0.000000  0.769259  1.932222  3.121007  3.911746  4.035052  0.000000  0.000000  0.000000  0.000000  0.000000

age(Gyr)= 0.006300  21 points
 0.075000  3.478522  0.000000  4.047138  12.184769  0.000000  0.000000  1.170000  2.790615  4.794980  5.472679  5.813632  0.000000  0.000000  0.000000  0.000000  0.000000
 0.080000  3.480792  0.000000  4.050836  12.062836  0.000000  0.000000  1.160448  2.771343  4.631314  5.305477  5.653364  0.000000  0.000000  0.000000  0.000000  0.000000
 0.090000  3.484927  0.000000  4.053969  11.843130  0.000000  0.000000  1.140458  2.740916  4.559265  5.233129  5.570775  0.000000  0.000000  0.000000  0.000000  0.000000
 0.100000  3.488449  0.000000  4.055707  11.640977  0.000000  0.000000  1.130602  2.711203  4.495607  5.169457  5.506611  0.000000  0.000000  0.000000  0.000000  0.000000
 0.110000  3.492014  0.000000  4.055406  11.445625  0.000000  0.000000  1.120312  2.680625  4.445261  5.118806  5.445564  0.000000  0.000000  0.000000  0.000000  0.000000
