Z=0.018120 Y=0.266240 OS=0.20 l/Hp=1.743201 [Fe/H]=    0.000 [Alpha/Fe]= 0.00
  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
 3.0373998  3.9407  1.9284  3.7063  0.142 -0.097  0.139  0.084  0.172  0.237  0.299  0.320  0.308  0.383  4.4560E+01  1.4267E+00  1.1221E-01
 3.0593733  3.9655  1.9789  3.7582  0.092 -0.141  0.091  0.060  0.125  0.155  0.199  0.215  0.199  0.250  4.3074E+01  1.3561E+00  1.0540E-01
 3.0804743  3.9896  2.0293  3.8074  0.039 -0.184  0.044  0.036  0.079  0.074  0.100  0.112  0.092  0.120  4.8087E+01  1.4877E+00  1.1422E-01
 3.1074608  4.0132  2.0739  3.8610  0.000 -0.223 -0.002  0.013  0.035 -0.004  0.006  0.014 -0.010 -0.005  5.6087E+01  1.7012E+00  1.2882E-01
 3.1365613  4.0361  2.1136  3.9173 -0.027 -0.261 -0.045 -0.009 -0.009 -0.079 -0.085 -0.081 -0.110 -0.125  5.5536E+01  1.6495E+00  1.2307E-01
 3.1629969  4.0584  2.1494  3.9747 -0.047 -0.298 -0.088 -0.031 -0.051 -0.153 -0.175 -0.174 -0.207 -0.243  1.4921E+02  4.2669E+00  3.1003E-01
 3.2857689  4.0782  2.1206  4.0988  0.111 -0.338 -0.113 -0.046 -0.080 -0.204 -0.236 -0.237 -0.274 -0.325  2.5248E+02  6.7146E+00  4.6376E-01
 3.4154782  4.0977  2.1254  4.1888  0.212 -0.389 -0.125 -0.054 -0.096 -0.236 -0.274 -0.278 -0.315 -0.376  2.0352E+02  4.9950E+00  3.2602E-01
 3.4892919  4.1178  2.1859  4.2177  0.176 -0.445 -0.138 -0.061 -0.112 -0.268 -0.312 -0.319 -0.357 -0.429  2.1585E+02  4.9327E+00  3.0624E-01
 3.6313238  4.1372  2.2397  4.2592  0.157 -0.495 -0.150 -0.068 -0.126 -0.299 -0.349 -0.359 -0.396 -0.479  3.2593E+02  6.8161E+00  3.9772E-01
 3.8152220  4.1558  2.2995  4.2952  0.123 -0.540 -0.160 -0.073 -0.138 -0.328 -0.386 -0.396 -0.433 -0.527  3.9933E+02  7.4519E+00  4.0147E-01
 4.0306580  4.1731  2.3768  4.3109  0.035 -0.579 -0.170 -0.078 -0.149 -0.356 -0.419 -0.431 -0.468 -0.570  4.6773E+02  7.6688E+00  3.7734E-01
 4.2829515  4.1890  2.4703  4.3073 -0.103 -0.611 -0.178 -0.083 -0.160 -0.387 -0.455 -0.469 -0.508 -0.619  5.0701E+02  7.2443E+00  3.2364E-01
 4.5376715  4.2045  2.5618  4.3027 -0.239 -0.641 -0.186 -0.088 -0.169 -0.416 -0.491 -0.506 -0.548 -0.667  5.2024E+02  6.4823E+00  2.6304E-01
 4.8031938  4.2194  2.6507  4.2981 -0.370 -0.668 -0.193 -0.092 -0.177 -0.441 -0.520 -0.538 -0.584 -0.712  7.0647E+02  7.5544E+00  2.7549E-01
 5.2441419  4.3744  2.8298  4.4331 -0.525 -0.716 -0.207 -0.099 -0.191 -0.477 -0.563 -0.585 -0.634 -0.774 -4.0510E+03 -7.3572E+01 -4.1739E+00
 0.7522001  0.6202  0.4062  0.6323 -0.070 -0.105 -0.030 -0.015 -0.028 -0.070 -0.082 -0.086 -0.093 -0.113 -4.4563E+03 -7.7199E+02 -3.0757E+02
 0.7878694  0.6219  0.4165  0.6317 -0.086 -0.107 -0.031 -0.015 -0.029 -0.071 -0.083 -0.087 -0.094 -0.115  3.5669E+01  2.7960E+01  2.0770E+01

age(Gyr)= 0.004  37 points
 0.4000000  3.5588 -0.7704  3.9975  8.184  1.212  1.450  0.928  1.965  3.165  3.919  4.067  4.178  4.930  8.8347E+01  2.9328E+02  6.0193E+02
 0.4883466  3.5859 -0.6464  4.0677  7.537  1.362  1.412  0.872  1.742  2.750  3.514  3.630  3.728  4.440  2.0362E+02  4.6948E+02  7.5248E+02
 0.6036226  3.6105 -0.4790  4.0912  6.819  1.371  1.339  0.804  1.531  2.384  3.093  3.198  3.301  3.927  3.1024E+02  4.1866E+02  4.6320E+02
 0.7985817  3.6325 -0.2803  4.1025  6.128  1.242  1.254  0.706  1.318  2.179  2.817  2.917  3.010  3.565  4.5853E+02  3.3099E+02  2.3714E+02
 1.0621563  3.6536 -0.0732  4.1032  5.471  1.100  1.170  0.633  1.168  2.013  2.604  2.703  2.804  3.323  5.2838E+02  2.0380E+02  9.3586E+01
 1.3269630  3.6758  0.1185  4.0970  4.822  0.907  1.051  0.540  0.993  1.781  2.318  2.411  2.498  2.975  4.9060E+02  1.1317E+02  3.5950E+01
 1.5527600  3.6987  0.2964  4.0794  4.256  0.651  0.928  0.478  0.893  1.564  2.047  2.129  2.204  2.638  4.1820E+02  6.6013E+01  1.5995E+01
 1.7451660  3.7212  0.4761  4.0403  3.745  0.417  0.812  0.441  0.835  1.416  1.861  1.937  1.999  2.412  3.4940E+02  4.1770E+01  8.3076E+00
 1.9021631  3.7421  0.6687  3.9687  3.206  0.242  0.714  0.402  0.773  1.269  1.657  1.724  1.778  2.152  2.6984E+02  2.6349E+01  4.5401E+00
 2.0150082  3.7612  0.8732  3.8658  2.649  0.120  0.631  0.358  0.697  1.142  1.481  1.539  1.585  1.926  1.9940E+02  1.6888E+01  2.6314E+00
 2.1015657  3.7804  1.0707  3.7634  2.116  0.058  0.559  0.317  0.619  1.025  1.320  1.373  1.413  1.726  1.6181E+02  1.2354E+01  1.7893E+00
 2.1768141  3.8011  1.2473  3.6850  1.629  0.030  0.486  0.275  0.536  0.874  1.118  1.165  1.195  1.469  1.0984E+02  7.7795E+00  1.0686E+00
 2.2114021  3.8264  1.3303  3.7099  1.393  0.064  0.405  0.223  0.447  0.706  0.902  0.944  0.962  1.190  6.8515E+01  4.6254E+00  6.1422E-01
 2.2453291  3.8513  1.4117  3.7347  1.159  0.098  0.327  0.172  0.357  0.538  0.686  0.724  0.729  0.911  6.6395E+01  4.3256E+00  5.6024E-01
 2.2777973  3.8758  1.4890  3.7615  0.945  0.123  0.251  0.123  0.273  0.381  0.486  0.519  0.512  0.650  5.6576E+01  3.5699E+00  4.5208E-01
 2.3019056  3.9003  1.5393  3.8141  0.871  0.097  0.187  0.093  0.213  0.290  0.372  0.399  0.387  0.495  4.7282E+01  2.9049E+00  3.6104E-01
 2.3250793  3.9244  1.5862  3.8678  0.813  0.063  0.128  0.066  0.159  0.209  0.271  0.293  0.276  0.357  4.5025E+01  2.7021E+00  3.3035E-01
 2.3469302  3.9483  1.6356  3.9180  0.745  0.035  0.066  0.037  0.103  0.126  0.167  0.184  0.161  0.215  4.1779E+01  2.4531E+00  2.9535E-01
 2.3668582  3.9726  1.6902  3.9643  0.663  0.006  0.003  0.008  0.045  0.040  0.060  0.071  0.044  0.069  1.2142E+02  6.8478E+00  8.0156E-01
 2.4683531  3.9849  1.5541  4.1679  1.041 -0.011 -0.008 -0.002  0.024  0.006  0.017  0.027 -0.001  0.014  1.8922E+02  9.9004E+00  1.0997E+00
 2.5560738  4.0057  1.6052  4.2151  1.007 -0.077 -0.033 -0.013 -0.003 -0.045 -0.045 -0.036 -0.065 -0.063  1.4116E+02  6.8337E+00  7.1864E-01
